year,GP name,date,start,finish,statusId,team,driverRef,dob,circuit name,location,country,driver home,team home
2025,Australian Grand Prix,2025-03-16,1,1,1,McLaren,norris,1999-11-13,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,3,2,1,Red Bull,max_verstappen,1997-09-30,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,4,3,1,Mercedes,russell,1998-02-15,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,16,4,1,Mercedes,antonelli,,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,6,5,1,Williams,albon,1996-03-23,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,13,6,1,Aston Martin,stroll,1998-10-29,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,17,7,1,Sauber,hulkenberg,1987-08-19,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,7,8,1,Ferrari,leclerc,1997-10-16,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,2,9,1,McLaren,piastri,2001-04-06,Albert Park Grand Prix Circuit,Melbourne,AUS,1,0
2025,Australian Grand Prix,2025-03-16,8,10,1,Ferrari,hamilton,1985-01-07,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,9,11,1,Alpine,gasly,1996-02-07,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,5,12,1,RB F1 Team,tsunoda,2000-05-11,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,19,13,1,Haas F1 Team,ocon,1996-09-17,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,20,14,1,Haas F1 Team,bearman,2005-05-08,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,18,15,3,Red Bull,lawson,2002-02-11,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,15,16,3,Sauber,bortoleto,,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,12,17,3,Aston Martin,alonso,1981-07-29,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,10,18,3,Williams,sainz,1994-09-01,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Australian Grand Prix,2025-03-16,14,19,3,Alpine,doohan,2003-01-20,Albert Park Grand Prix Circuit,Melbourne,AUS,1,0
2025,Australian Grand Prix,2025-03-16,11,20,3,RB F1 Team,hadjar,,Albert Park Grand Prix Circuit,Melbourne,AUS,0,0
2025,Chinese Grand Prix,2025-03-23,1,1,1,McLaren,piastri,2001-04-06,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,3,2,1,McLaren,norris,1999-11-13,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,2,3,1,Mercedes,russell,1998-02-15,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,4,4,1,Red Bull,max_verstappen,1997-09-30,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,11,5,1,Haas F1 Team,ocon,1996-09-17,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,8,6,1,Mercedes,antonelli,,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,10,7,1,Williams,albon,1996-03-23,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,17,8,1,Haas F1 Team,bearman,2005-05-08,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,14,9,1,Aston Martin,stroll,1998-10-29,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,15,10,1,Williams,sainz,1994-09-01,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,7,11,1,RB F1 Team,hadjar,,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,20,12,1,Red Bull,lawson,2002-02-11,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,18,13,1,Alpine,doohan,2003-01-20,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,19,14,1,Sauber,bortoleto,,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,12,15,1,Sauber,hulkenberg,1987-08-19,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,9,16,1,RB F1 Team,tsunoda,2000-05-11,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,13,17,3,Aston Martin,alonso,1981-07-29,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,6,18,1,Ferrari,leclerc,1997-10-16,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,5,19,1,Ferrari,hamilton,1985-01-07,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Chinese Grand Prix,2025-03-23,16,20,1,Alpine,gasly,1996-02-07,Shanghai International Circuit,Shanghai,CHI,0,0
2025,Japanese Grand Prix,2025-04-06,1,1,1,Red Bull,max_verstappen,1997-09-30,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,2,2,1,McLaren,norris,1999-11-13,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,3,3,1,McLaren,piastri,2001-04-06,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,4,4,1,Ferrari,leclerc,1997-10-16,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,5,5,1,Mercedes,russell,1998-02-15,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,6,6,1,Mercedes,antonelli,,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,8,7,1,Ferrari,hamilton,1985-01-07,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,7,8,1,RB F1 Team,hadjar,,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,9,9,1,Williams,albon,1996-03-23,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,10,10,1,Haas F1 Team,bearman,2005-05-08,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,12,11,1,Aston Martin,alonso,1981-07-29,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,14,12,1,Red Bull,tsunoda,2000-05-11,Suzuka Circuit,Suzuka,JAP,1,0
2025,Japanese Grand Prix,2025-04-06,11,13,1,Alpine,gasly,1996-02-07,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,15,14,1,Williams,sainz,1994-09-01,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,19,15,1,Alpine,doohan,2003-01-20,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,16,16,1,Sauber,hulkenberg,1987-08-19,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,13,17,1,RB F1 Team,lawson,2002-02-11,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,18,18,1,Haas F1 Team,ocon,1996-09-17,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,17,19,1,Sauber,bortoleto,,Suzuka Circuit,Suzuka,JAP,0,0
2025,Japanese Grand Prix,2025-04-06,20,20,1,Aston Martin,stroll,1998-10-29,Suzuka Circuit,Suzuka,JAP,0,0
2025,Bahrain Grand Prix,2025-04-13,1,1,1,McLaren,piastri,2001-04-06,Bahrain International Circuit,Sakhir,BAH,0,0
